Name,Calories,Carbs,Protein,Fat,Sugar,Fibre,Cholesterol,calcium,phosphorus,magnesium,sodium,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vit a_ug,vit e_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug
Rice flakes (Chiwda/Aval),112.44,15.57,3.62,3.99,7.28,0.37,0.00,103.15,104.43,15.61,22.40,115.40,0.62,0.06,0.82,0.01,0.10,0.02,0.45,0.00,0.20,0.00,0.00,0.11,0.00,6.98,0.04,0.10,0.24,0.35,0.04,1.75,6.98
Wheat flakes,112.44,15.57,3.62,3.99,7.28,0.37,0.00,103.15,104.43,15.61,22.40,115.40,0.62,0.06,0.82,0.01,0.10,0.02,0.45,0.00,0.20,0.00,0.00,0.11,0.00,6.98,0.04,0.10,0.24,0.35,0.04,1.75,6.98
Murmura (Puffed rice),113.32,15.67,3.62,4.04,7.31,0.28,0.00,103.79,99.79,14.18,22.52,114.53,0.63,0.06,0.82,0.01,0.11,0.01,0.44,0.00,0.19,0.00,0.00,0.11,0.00,6.07,0.04,0.10,0.27,0.33,0.04,1.85,6.07
Puffed wheat (Murmure/Moori),113.32,15.67,3.62,4.04,7.31,0.28,0.00,103.79,99.79,14.18,22.52,114.53,0.63,0.06,0.82,0.01,0.11,0.01,0.44,0.00,0.19,0.00,0.00,0.11,0.00,6.07,0.04,0.10,0.27,0.33,0.04,1.85,6.07
Boiled egg (Ubla anda),45.35,0.12,4.43,3.04,0.00,0.11,121.19,17.75,61.74,4.88,170.94,50.91,0.64,0.03,13.43,0.00,0.03,0.01,0.41,65.56,0.50,0.09,0.28,0.57,4.84,16.40,0.02,0.06,0.04,0.49,0.05,6.05,16.40
Fried Egg ,223.67,0.31,11.59,19.62,0.00,0.29,316.88,46.40,161.43,12.75,446.96,133.13,1.69,0.08,35.12,0.00,0.08,0.04,1.08,171.43,7.07,0.22,0.73,2.22,12.65,42.89,0.05,0.17,0.10,1.28,0.14,15.82,42.89
Poached egg,123.87,0.37,11.98,8.19,0.05,0.30,326.79,48.24,167.21,14.79,1163.07,141.30,1.75,0.08,36.29,0.00,0.09,0.04,1.12,176.79,1.36,0.23,0.75,1.53,13.04,44.23,0.05,0.17,0.11,1.32,0.15,16.32,44.23
Scrambled egg (Ande ki bhurji),155.97,1.35,10.29,12.21,1.08,0.24,273.60,64.59,155.18,12.41,374.66,136.01,1.42,0.07,29.18,0.00,0.07,0.03,0.96,196.17,1.24,0.18,0.60,1.64,10.44,36.89,0.05,0.16,0.10,1.13,0.12,13.49,36.89
Baked egg ,218.85,15.42,11.88,12.65,1.66,1.03,204.36,164.05,236.01,17.94,523.29,143.69,1.48,0.09,22.90,0.00,0.20,0.02,1.21,185.54,0.95,0.13,0.42,1.45,7.23,35.37,0.10,0.16,0.55,0.82,0.11,9.89,35.37
Plain omelette/omlet,272.41,0.64,9.66,25.74,0.51,0.12,255.94,48.40,140.01,10.22,226.18,114.08,1.35,0.06,28.42,0.00,0.04,0.02,0.90,138.46,10.38,0.09,0.59,1.79,10.22,35.30,0.05,0.14,0.09,1.06,0.12,12.98,35.30
