Name,Calories,Carbs,Protein,Fat,Sugar,Fibre,Cholesterol,calcium,phosphorus,magnesium,sodium,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vit a_ug,vit e_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug
Beans and macaroni,136.08,14.24,4.58,7.01,1.68,2.05,19.67,86.86,126.74,27.05,182.79,221.16,0.75,0.09,3.96,0.00,0.26,0.02,0.62,77.42,0.29,3.54,0.00,12.40,0.00,32.50,0.06,0.06,0.95,0.34,0.22,3.31,32.50
Spaghetti bolognese,97.43,10.04,9.35,9.51,1.41,1.08,13.91,73.66,145.25,29.25,5358.60,271.96,2.06,0.10,2.80,0.00,0.23,0.01,1.06,21.59,0.69,3.84,0.00,8.35,0.00,10.09,0.05,0.04,1.05,0.30,0.08,1.31,10.09
Meat and macaroni casserole,161.55,16.12,9.15,10.17,1.00,1.19,2.13,68.28,107.55,22.39,2511.99,329.91,1.85,0.09,2.55,0.00,0.27,0.01,0.46,9.57,1.75,0.49,0.00,2.92,0.00,11.85,0.09,0.05,2.38,0.24,0.06,0.74,11.85
Spaghetti with meat balls and tomato sauce,158.13,10.46,5.61,10.64,1.87,1.11,16.15,40.82,81.06,15.30,189.13,152.86,0.71,0.07,2.56,0.00,0.30,0.01,0.90,8.19,3.73,3.36,0.00,9.09,0.00,11.34,0.06,0.05,1.37,0.32,0.08,1.17,11.34
Spaghetti with paneer balls and tomato sauce,158.54,12.72,3.95,10.44,3.03,1.25,2.57,80.73,79.17,15.07,199.55,113.95,0.55,0.07,4.33,0.01,0.35,0.01,0.53,8.17,4.14,3.78,0.00,10.19,0.00,19.84,0.05,0.03,0.58,0.21,0.06,2.61,19.84
Lasagne with meat sauce,63.38,5.38,2.90,3.43,1.04,0.47,8.80,24.61,41.98,8.28,37.08,88.89,0.49,0.04,1.40,0.00,0.08,0.01,0.46,10.70,0.15,1.80,0.00,5.49,0.00,6.35,0.03,0.04,0.67,0.20,0.05,0.72,6.35
Lasagne with vegetables,49.23,5.90,1.71,2.16,1.37,0.66,2.81,32.89,32.55,13.26,40.78,126.45,0.57,0.05,1.39,0.00,0.16,0.01,0.23,12.58,0.31,1.49,0.00,23.08,0.00,16.32,0.05,0.03,0.37,0.14,0.05,1.07,16.32
Home made egg noodles,240.84,42.92,6.55,4.37,1.03,1.60,38.27,15.96,83.10,18.54,177.24,90.12,1.15,0.10,1.83,0.00,0.37,0.01,0.57,19.17,0.29,3.89,0.12,2.30,1.61,13.37,0.09,0.04,0.47,0.51,0.06,2.65,13.37
Sour lentils (Khatti dal),34.79,6.04,2.22,0.12,1.25,1.22,0.00,8.29,30.74,9.99,115.60,98.52,0.85,0.10,4.15,0.00,0.18,0.05,0.34,0.00,0.02,0.58,0.00,1.10,0.00,6.20,0.04,0.02,0.22,0.14,0.03,0.28,6.20
Urad special dehusked,69.43,8.86,3.14,2.17,1.32,2.50,4.62,16.40,55.69,28.53,109.56,233.34,0.83,0.11,2.78,0.00,0.38,0.05,0.46,17.32,0.17,2.15,0.00,4.97,0.00,20.46,0.04,0.02,0.37,0.43,0.07,0.97,20.46
Arhar with spinach (Arhar dal aur palak),52.84,4.77,2.05,2.76,0.23,1.30,6.10,21.81,32.58,23.79,109.97,205.61,0.89,0.12,1.35,0.00,0.31,0.05,0.29,22.86,0.33,0.35,0.00,44.78,0.00,26.26,0.06,0.02,0.24,0.13,0.05,0.57,26.26
Moong dal with vadi,24.08,1.00,0.40,2.05,0.45,0.39,4.75,2.99,6.77,3.98,112.36,33.66,0.18,0.02,0.03,0.00,0.10,0.02,0.06,17.81,0.16,0.65,0.00,1.95,0.00,3.18,0.01,0.01,0.07,0.03,0.02,0.22,3.18
Rasam with tamarind (Puli rasam/ Chintapandu rasam/ Charu/Saaru),26.74,3.37,1.13,0.88,0.83,1.60,0.00,16.56,21.12,14.66,104.11,130.66,0.59,0.07,0.97,0.00,0.18,0.09,0.17,0.00,0.33,3.02,0.00,13.00,0.00,7.36,0.03,0.02,0.29,0.08,0.04,0.24,7.36
Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru),24.41,2.85,1.11,0.87,0.44,1.54,0.00,15.56,20.21,13.98,102.77,124.52,0.52,0.07,0.96,0.00,0.17,0.07,0.16,0.00,0.33,2.79,0.00,12.84,0.00,7.33,0.03,0.02,0.27,0.08,0.04,0.24,7.33
Green gram whole with baghar (Sabut moong dal with tadka),63.43,6.80,3.23,2.48,0.15,3.02,5.45,25.04,52.02,32.57,181.69,192.66,1.00,0.15,3.19,0.00,0.53,0.12,0.42,20.42,0.20,0.80,0.00,3.92,0.00,20.06,0.07,0.04,0.34,0.28,0.06,0.24,20.06
Urad sabut special,79.39,5.03,2.33,5.46,0.86,2.15,13.38,21.45,42.63,20.55,60.09,160.47,0.71,0.08,2.51,0.00,0.31,0.07,0.33,52.57,0.36,4.15,0.00,8.24,0.00,18.22,0.04,0.03,0.32,0.35,0.07,0.58,18.22
Kabuli channa curry,68.57,7.63,2.92,3.06,1.24,1.12,0.15,32.03,46.28,23.41,122.05,190.00,0.95,0.14,0.36,0.00,0.68,0.03,0.44,0.39,1.49,2.13,0.00,8.48,0.00,26.18,0.06,0.04,0.36,0.26,0.09,0.51,26.18
Besan gatte curry,189.38,16.26,7.75,10.72,4.50,3.25,2.80,151.08,128.59,37.09,356.27,274.59,1.89,0.13,3.22,0.01,0.81,0.08,0.89,7.12,4.19,2.02,0.00,11.94,0.00,52.81,0.12,0.12,0.68,0.46,0.15,4.35,52.81
Dry masala chops,135.07,3.30,9.08,9.54,2.27,0.86,2.24,112.25,103.52,10.66,83.47,219.97,1.39,0.03,0.54,0.00,0.34,0.03,0.23,5.69,1.70,0.47,0.00,4.54,0.00,10.29,0.09,0.12,2.89,0.16,0.05,0.89,10.29
Mutton korma,115.64,2.53,7.09,8.54,1.64,0.78,3.90,79.07,75.78,8.63,56.94,165.87,1.09,0.03,0.25,0.00,0.16,0.01,0.16,18.17,1.40,0.25,0.00,3.19,0.00,8.68,0.07,0.08,2.32,0.12,0.03,0.79,8.68
Shahi keema kofta curry,418.13,1.73,4.14,43.83,0.78,0.91,14.97,14.51,46.65,12.06,104.53,119.63,0.67,0.05,0.49,0.00,0.26,0.04,0.78,0.97,20.27,1.59,0.00,7.58,0.00,5.60,0.04,0.04,1.05,0.24,0.07,0.80,5.60
Minced meat ball curry,109.79,2.86,6.82,7.85,1.27,1.49,24.77,23.84,75.90,18.97,170.06,194.09,1.01,0.08,0.82,0.00,0.47,0.06,1.28,1.61,1.73,2.66,0.00,8.52,0.00,9.08,0.06,0.07,1.72,0.39,0.11,1.32,9.08
Boti kebab,132.86,3.06,9.22,9.27,2.09,0.76,1.21,98.67,95.61,9.99,78.14,221.64,1.41,0.03,0.53,0.00,0.19,0.01,0.18,3.07,1.47,0.84,0.00,2.18,0.00,12.03,0.10,0.10,3.11,0.15,0.05,0.72,12.03
Mutton seekh kebab,133.94,3.11,11.25,8.43,1.40,1.88,0.00,117.44,105.95,19.83,102.17,269.59,2.19,0.08,0.51,0.00,0.50,0.12,0.23,0.00,0.22,0.94,0.00,8.27,0.00,11.78,0.13,0.09,3.96,0.10,0.04,0.65,11.78
Indian lamb and egg curry (Nargisi kofta),335.75,2.07,3.84,34.70,0.75,0.60,44.04,12.91,47.06,8.06,57.44,85.80,0.55,0.04,4.18,0.00,0.11,0.02,0.56,25.09,15.96,0.61,0.08,4.01,1.40,11.35,0.03,0.05,0.60,0.30,0.06,2.43,11.35
Soya chunks sweet and sour (Nutrinugget sweet and sour),500.94,3.27,2.85,55.99,1.10,0.86,23.51,13.89,41.68,11.23,2257.67,111.45,0.70,0.04,1.31,0.00,0.16,0.01,0.17,12.18,26.18,1.05,0.07,6.48,0.98,8.79,0.02,0.01,0.16,0.13,0.04,2.29,8.79
Soya chunks korma (Nutrinugget korma),131.43,7.67,3.86,9.50,4.66,2.57,3.32,89.70,94.03,33.57,148.98,252.27,1.18,0.15,1.46,0.00,0.81,0.12,0.62,8.44,3.27,1.26,0.00,8.58,0.00,19.98,0.06,0.10,0.33,0.33,0.12,1.88,19.98
Mushroom matar,70.77,5.33,2.79,4.11,1.39,3.13,0.00,21.42,42.27,21.71,61.63,214.87,0.81,0.10,0.40,0.01,0.56,0.04,0.37,0.00,2.00,10.34,0.00,21.21,0.00,20.57,0.07,0.02,0.61,0.33,0.11,3.52,20.57
Soya chunks and peas (Nutrinugget matar),82.62,5.82,3.03,5.11,1.64,2.86,0.00,20.32,34.93,22.75,70.97,173.49,0.99,0.11,0.47,0.00,0.66,0.05,0.45,0.00,2.44,6.67,0.00,21.66,0.00,23.37,0.09,0.02,0.54,0.28,0.10,1.67,23.37
Vegetable yakhni,406.06,1.94,1.18,43.80,1.44,0.61,1.92,43.67,34.30,7.80,38.05,82.80,0.24,0.02,0.72,0.00,0.19,0.01,0.17,4.88,20.61,0.33,0.00,3.83,0.00,10.60,0.02,0.05,0.08,0.19,0.02,0.92,10.60
Spinach mushroom (Palak mushroom),47.63,2.95,1.94,2.96,1.00,2.27,2.89,49.75,35.93,52.12,70.97,416.07,1.69,0.12,1.10,0.02,0.70,0.01,0.32,12.99,1.40,5.08,0.00,172.25,0.00,78.93,0.10,0.06,0.39,0.24,0.12,3.80,78.93
Vegetarian nargisi kofta curry,332.15,6.58,2.29,32.94,1.65,0.86,1.03,47.09,42.55,11.15,73.56,147.70,0.38,0.05,2.10,0.01,0.14,0.02,0.34,5.47,15.47,0.97,0.00,5.44,0.00,14.52,0.03,0.02,0.33,0.16,0.04,2.19,14.52
Roast chicken,199.90,0.10,20.49,13.06,0.05,0.03,69.66,13.61,168.30,19.34,71.71,280.00,0.79,0.26,17.41,0.00,0.03,0.01,0.74,60.39,0.38,0.03,1.29,0.58,26.05,9.86,0.09,0.06,7.56,1.08,0.50,3.88,9.86
Shahi chicken masala,163.70,4.07,9.82,12.02,2.86,0.96,24.78,82.68,124.15,21.76,142.56,230.91,0.89,0.14,10.48,0.01,0.24,0.02,0.63,20.26,2.99,1.07,0.47,5.54,9.55,18.74,0.06,0.06,2.95,0.53,0.22,3.95,18.74
Tomato chicken,111.68,2.13,10.57,6.71,0.93,1.42,27.94,21.24,95.13,21.29,104.83,252.17,0.87,0.17,8.49,0.00,0.18,0.03,0.48,3.16,1.37,5.56,0.63,15.68,12.62,13.73,0.07,0.05,3.96,0.63,0.30,2.47,13.73
Creamy chicken,152.87,3.13,13.52,9.57,2.11,0.69,39.28,50.37,136.76,21.54,97.08,267.95,0.82,0.18,10.58,0.00,0.18,0.01,0.64,27.78,1.59,0.35,0.76,9.26,15.34,15.01,0.08,0.09,4.58,0.80,0.34,3.34,15.01
Broccoli chicken ala king,119.56,5.34,7.97,7.57,2.49,1.92,27.85,73.36,111.25,19.27,104.01,297.25,0.78,0.10,4.72,0.00,0.16,0.01,0.67,61.75,0.92,0.03,0.29,78.70,5.89,44.67,0.10,0.14,2.12,0.68,0.19,3.56,44.67
Ginger chicken,129.17,5.60,8.24,8.24,1.95,1.21,19.24,18.41,76.28,19.98,365.86,228.87,0.96,0.13,6.84,0.00,0.40,0.01,0.40,2.18,2.69,1.68,0.48,6.49,8.69,16.75,0.05,0.04,2.83,0.55,0.23,2.80,16.75
Chicken sweet and sour,445.09,2.67,6.92,47.59,0.89,0.58,32.47,21.98,77.46,13.05,1809.94,153.46,0.93,0.09,5.04,0.00,0.12,0.00,0.37,11.50,21.55,0.87,0.35,5.33,6.74,8.92,0.03,0.02,1.85,0.35,0.14,2.76,8.92
Chicken korma,147.96,5.43,9.83,9.67,3.32,1.82,23.66,68.66,123.22,29.57,119.21,277.53,1.06,0.19,7.46,0.00,0.57,0.09,0.68,8.46,2.39,0.89,0.48,6.06,9.61,16.96,0.07,0.09,3.02,0.63,0.26,2.76,16.96
Bengal fish curry (Bengali machli curry),109.43,4.42,7.26,7.03,2.39,1.93,13.92,44.44,95.07,27.62,76.38,207.98,0.85,0.08,9.85,0.01,0.87,0.05,0.44,11.12,0.46,1.18,0.20,7.87,0.32,14.96,0.04,0.03,0.66,0.50,0.09,1.10,14.96
Fish finger,542.90,4.47,5.66,55.82,0.17,0.34,30.00,11.38,67.87,12.17,103.55,135.39,0.38,0.04,9.15,0.00,0.05,0.00,0.26,17.99,27.01,0.17,0.18,3.73,1.05,7.85,0.03,0.02,0.50,0.39,0.06,1.19,7.85
Fish in coconut milk (Nariyal ke doodh ke saath machli),86.21,2.73,8.66,4.43,1.55,1.52,17.13,21.94,99.28,23.46,73.93,190.38,0.91,0.10,23.80,0.01,0.24,0.03,0.38,6.02,1.07,1.08,0.08,6.82,1.94,11.67,0.04,0.05,1.11,0.59,0.08,2.75,11.67
Prawn curry (with coconut) (Jhinga curry),109.55,3.10,8.54,6.93,2.03,1.56,37.12,37.25,115.45,35.67,375.86,150.65,0.96,0.23,25.13,0.01,0.18,0.06,0.72,0.65,3.54,1.65,0.62,7.49,155.70,15.25,0.02,0.03,0.66,0.95,0.09,0.41,15.25
Baked stuffed fish,121.96,2.12,16.14,5.43,0.35,0.38,36.95,18.80,182.00,29.35,74.36,242.97,0.35,0.06,24.39,0.01,0.05,0.01,0.48,37.50,1.08,1.52,0.50,2.59,0.81,11.02,0.05,0.03,1.25,0.95,0.12,0.46,11.02
Fish pie,120.90,7.74,9.25,5.77,1.13,0.76,23.97,36.15,123.74,24.55,101.80,316.28,0.46,0.07,12.54,0.01,0.10,0.02,0.41,43.75,0.65,0.34,0.25,3.63,0.40,12.12,0.05,0.04,0.94,0.67,0.10,0.95,12.12
Crispy baked fish,138.40,9.59,10.95,6.41,1.53,1.21,28.89,60.04,147.43,24.23,192.42,208.73,0.55,0.07,14.37,0.01,0.15,0.02,0.51,56.78,0.70,3.33,0.27,8.22,0.44,16.53,0.07,0.04,1.03,0.60,0.10,1.22,16.53
Fish souffle,139.71,5.14,10.51,8.55,2.09,0.19,84.69,63.87,148.86,18.50,92.45,167.34,0.59,0.05,17.30,0.01,0.06,0.02,0.57,82.71,0.85,0.37,0.35,0.64,2.81,15.32,0.05,0.09,0.56,0.80,0.09,3.93,15.32
Potato curry (Aloo ki sabzi),89.56,10.42,1.52,4.47,1.58,2.42,0.00,23.74,38.19,25.30,78.40,383.45,0.97,0.10,0.51,0.00,0.28,0.05,0.31,0.00,2.08,3.37,0.00,12.09,0.00,17.65,0.05,0.02,0.76,0.31,0.10,1.43,17.65
Egg curry (Anda curry),117.52,4.03,5.38,8.81,1.90,2.09,120.74,41.59,83.17,21.72,142.12,198.53,1.52,0.10,13.53,0.00,0.29,0.07,0.63,65.32,3.22,4.36,0.28,14.68,4.82,29.51,0.05,0.08,0.37,0.64,0.12,7.03,29.51
Vegetable curry with coconut ,83.07,7.19,2.77,4.66,1.41,3.35,0.00,19.63,33.58,23.16,43.40,215.47,0.95,0.12,0.62,0.00,0.30,0.04,0.45,0.00,1.32,5.28,0.00,19.42,0.00,23.60,0.10,0.02,0.64,0.31,0.10,1.72,23.60
Curd with potatoes (Dahi aloo),59.90,7.15,1.56,2.72,1.82,1.19,1.45,36.36,43.34,15.87,51.99,259.27,0.47,0.05,0.56,0.00,0.16,0.02,0.25,3.69,1.11,1.48,0.00,5.75,0.00,11.79,0.04,0.04,0.47,0.24,0.07,1.14,11.79
Potato kofta curry (Aloo kofta curry),455.40,2.78,0.56,49.08,0.63,0.56,2.60,7.77,13.24,6.90,30.12,97.57,0.26,0.03,0.33,0.00,0.12,0.02,0.09,5.25,24.00,0.74,0.00,5.74,0.07,4.76,0.01,0.01,0.19,0.09,0.03,0.52,4.76
Yam kofta curry (Zimikand/Suran kofta curry),322.88,3.75,0.71,33.84,0.63,1.04,3.54,8.35,15.20,8.55,42.22,109.02,0.31,0.05,0.38,0.00,0.10,0.01,0.11,7.14,16.51,0.95,0.01,6.05,0.10,5.79,0.01,0.01,0.16,0.10,0.05,1.06,5.79
Jackfruit kofta curry (Kathal ka kofta curry),321.08,3.17,0.80,33.83,2.40,0.96,3.54,11.36,10.97,8.78,40.04,79.59,0.24,0.05,0.29,0.00,0.14,0.01,0.08,7.14,16.46,2.11,0.01,11.08,0.10,8.43,0.02,0.01,0.14,0.08,0.05,1.03,8.43
Spinach and potato (Palak aloo),57.17,5.91,1.63,2.82,0.93,2.04,0.00,43.67,31.34,49.44,62.46,457.28,1.59,0.12,1.15,0.01,0.63,0.01,0.33,0.00,1.81,2.07,0.00,150.69,0.00,72.22,0.10,0.05,0.51,0.25,0.12,2.56,72.22
Mooli bhujia,91.20,4.74,1.69,7.25,1.07,2.36,0.00,131.88,41.21,40.41,89.73,282.60,2.37,0.18,16.74,0.03,0.73,0.05,0.38,0.00,0.08,1.12,0.00,96.46,0.00,38.24,0.04,0.08,0.41,0.16,0.13,3.17,38.24
Bathua bhujia,90.90,3.63,2.26,7.29,1.08,3.80,0.00,165.84,36.77,43.74,81.99,387.93,2.36,0.10,1.12,0.00,1.45,0.03,0.82,0.00,0.23,1.17,0.00,171.93,0.00,36.12,0.05,0.39,0.50,0.36,0.16,1.28,36.12
Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),142.48,6.09,8.21,9.36,1.26,1.84,32.90,31.54,92.25,20.93,118.05,252.57,0.98,0.08,1.19,0.00,0.28,0.03,1.43,24.85,1.34,0.72,0.00,43.53,0.00,22.86,0.07,0.09,1.94,0.50,0.15,1.65,22.86
Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),124.63,7.03,5.76,8.17,3.81,2.35,18.79,29.82,75.47,26.41,123.98,425.86,0.95,0.14,0.93,0.00,0.33,0.03,0.98,14.19,3.20,0.59,0.00,26.14,0.00,23.38,0.25,0.08,1.89,0.33,0.16,2.45,23.38
Dry arbi (Sookhi arbi),134.95,11.11,2.12,8.97,1.55,2.47,0.00,22.77,50.67,25.76,81.25,322.90,0.68,0.18,0.23,0.01,0.41,0.05,0.31,0.00,4.50,1.32,0.00,5.91,0.00,16.33,0.04,0.02,0.40,0.14,0.12,2.36,16.33
Masala arbi,185.38,16.16,3.01,11.90,0.81,3.10,0.00,32.08,74.02,35.19,261.31,467.53,0.99,0.27,0.29,0.01,0.47,0.06,0.40,0.00,6.02,0.31,0.00,3.95,0.00,17.32,0.05,0.03,0.51,0.11,0.16,3.18,17.32
Peas brinjal bhartha (Matar baingan bhartha),84.55,5.02,2.05,6.05,1.57,3.63,0.00,19.63,33.02,22.00,63.65,224.01,0.63,0.11,0.23,0.00,0.21,0.02,0.32,0.00,2.92,3.58,0.00,19.01,0.00,31.52,0.08,0.07,0.59,0.32,0.09,1.94,31.52
Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),110.81,4.50,1.83,9.27,1.42,3.57,0.00,67.88,49.02,52.60,92.78,233.03,0.88,0.12,0.81,0.00,0.29,0.04,0.41,0.00,4.82,5.57,0.00,17.16,0.00,51.27,0.04,0.05,0.53,0.26,0.22,1.62,51.27
Crispy okra/Crispy lady's fingers (Karare bhindi),657.76,4.35,1.91,70.40,0.26,1.75,0.00,27.61,27.93,20.56,40.42,90.14,0.56,0.06,0.48,0.00,0.18,0.01,0.21,0.00,34.73,1.76,0.00,10.35,0.00,26.27,0.04,0.03,0.29,0.14,0.09,0.86,26.27
Beans foogath,105.06,3.26,2.03,9.22,1.70,4.15,0.00,44.20,42.52,30.98,81.22,259.29,0.95,0.10,0.42,0.00,0.29,0.04,0.35,0.00,3.03,2.72,0.00,16.08,0.00,47.50,0.04,0.04,0.60,0.23,0.32,4.23,47.50
Stuffed bittergourd (wet) (Bharwa karele),162.36,4.68,1.36,15.24,1.95,2.86,0.00,17.25,34.61,24.19,360.09,246.15,0.91,0.09,2.79,0.01,0.35,0.03,0.35,0.00,7.43,1.21,0.00,4.99,0.00,40.30,0.04,0.03,0.28,0.25,0.06,4.35,40.30
Jackfruit/Kathal (dry),488.97,4.56,0.93,51.78,3.55,1.33,0.00,12.79,11.06,11.71,33.68,106.26,0.33,0.07,0.03,0.00,0.17,0.02,0.09,0.00,25.50,2.74,0.00,15.88,0.00,11.45,0.02,0.01,0.19,0.08,0.07,1.26,11.45
Yam fried (Zimikand/Suran fried),491.76,5.47,0.79,51.79,0.80,1.44,0.00,8.11,17.62,11.35,37.07,151.93,0.43,0.08,0.17,0.00,0.12,0.02,0.13,0.00,25.58,0.94,0.00,8.06,0.00,7.36,0.02,0.01,0.22,0.12,0.06,1.31,7.36
"Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia)",95.67,8.23,2.75,5.54,1.47,3.26,0.00,21.05,40.55,25.64,86.29,305.30,0.98,0.11,0.66,0.00,0.35,0.05,0.45,0.00,2.69,4.84,0.00,20.49,0.00,31.40,0.09,0.03,0.70,0.43,0.12,2.23,31.40
Vegetable jalfrezi,68.48,5.43,1.40,4.38,1.79,2.97,0.00,27.11,33.26,22.88,79.46,270.92,0.68,0.08,0.62,0.01,0.30,0.05,0.24,0.00,2.10,4.08,0.00,32.60,0.00,28.31,0.05,0.04,0.58,0.24,0.14,2.09,28.31
Vegetables stir fry ,30.78,3.19,1.04,1.47,0.86,1.37,0.00,13.30,15.82,8.61,55.00,115.07,0.34,0.04,0.27,0.00,0.10,0.01,0.21,0.00,0.80,2.42,0.00,18.73,0.00,15.94,0.04,0.02,0.24,0.18,0.05,0.91,15.94
Broccoli delight,40.70,2.34,2.49,2.48,1.08,2.83,0.00,26.99,48.00,17.10,59.26,257.82,0.71,0.06,0.97,0.00,0.18,0.00,0.40,0.00,0.89,0.61,0.00,99.73,0.00,48.94,0.09,0.08,0.59,0.32,0.08,2.08,48.94
Dhansak (vegetarian),82.80,7.28,3.32,4.18,0.91,4.17,0.00,26.40,57.86,28.30,34.18,264.50,1.26,0.18,3.62,0.00,0.33,0.19,0.50,0.00,1.56,1.61,0.00,19.64,0.00,18.72,0.06,0.04,0.47,0.23,0.08,0.76,18.72
Cauliflower basket,90.95,3.97,5.21,5.88,1.47,2.40,51.10,100.19,143.16,20.59,194.22,258.16,0.92,0.05,5.12,0.01,0.17,0.01,0.65,68.29,0.29,0.99,0.09,10.46,1.51,36.64,0.04,0.11,0.24,0.66,0.11,4.28,36.64
Stuffed bottle gourd (Stuffed ghiya/lauki),93.19,4.36,5.84,5.80,1.52,1.18,45.61,71.83,115.29,13.73,106.99,149.44,0.66,0.05,4.49,0.00,0.10,0.00,0.91,47.15,0.23,0.47,0.06,2.21,1.03,26.17,0.05,0.07,0.83,0.57,0.07,3.41,26.17
Ducheese potato,140.54,10.94,3.60,9.01,0.29,1.29,85.15,18.10,67.45,20.30,103.85,423.33,0.76,0.08,7.92,0.00,0.12,0.01,0.44,119.63,0.48,0.18,0.15,2.44,2.66,20.28,0.05,0.05,0.78,0.55,0.10,4.32,20.28
Roast potatoes ,87.32,14.52,1.53,2.35,0.33,1.71,5.51,10.38,42.96,23.89,90.67,528.24,0.57,0.09,0.75,0.00,0.15,0.02,0.28,24.79,0.11,0.23,0.00,2.53,0.00,15.08,0.06,0.01,1.01,0.37,0.10,1.32,15.08
Stuffed baked potatoes ,100.20,11.03,3.82,4.39,0.40,1.31,72.99,25.72,71.59,20.95,92.09,429.14,0.81,0.08,7.94,0.00,0.12,0.02,0.46,70.47,0.38,0.22,0.15,4.94,2.63,22.35,0.06,0.06,0.78,0.56,0.11,4.60,22.35
Potato nests,111.62,11.05,5.71,4.77,1.41,2.49,26.50,55.25,110.19,25.91,182.12,341.01,0.87,0.12,3.25,0.00,0.21,0.02,0.75,47.06,0.25,3.61,0.03,14.51,0.48,25.88,0.17,0.06,1.29,0.54,0.15,2.97,25.88
Parsley potato,119.51,13.81,1.49,6.28,0.34,1.59,15.71,11.43,42.08,22.56,4.62,502.76,0.55,0.08,0.74,0.00,0.13,0.02,0.27,70.64,0.19,0.20,0.00,3.98,0.00,15.20,0.06,0.01,0.96,0.35,0.09,1.32,15.20
Creamed spinach and mushroom,419.62,3.17,2.28,44.14,1.17,1.02,7.15,65.49,64.23,27.09,90.21,217.24,0.90,0.07,0.89,0.01,0.32,0.01,0.31,27.45,20.60,1.95,0.00,86.07,0.00,39.33,0.05,0.06,0.18,0.19,0.06,2.42,39.33
Fricassee of Mushroom,106.66,8.13,3.65,6.63,2.51,1.23,13.55,84.97,95.57,12.24,118.98,151.77,0.36,0.05,0.94,0.01,0.11,0.01,0.36,59.27,0.21,4.07,0.00,6.17,0.00,13.34,0.04,0.08,0.34,0.30,0.07,3.27,13.34
Cauliflower au gratin,145.90,9.13,4.45,10.20,3.01,1.44,22.15,119.69,126.89,15.99,164.96,181.30,0.57,0.05,1.48,0.00,0.14,0.01,0.53,91.28,0.29,0.68,0.00,5.18,0.00,20.68,0.05,0.10,0.28,0.41,0.07,2.07,20.68
Vegetable and cheese pie,126.88,8.76,4.03,8.28,2.69,1.91,18.88,99.48,116.19,19.44,117.99,243.97,0.58,0.07,1.00,0.00,0.15,0.02,0.55,76.79,0.28,1.69,0.00,8.70,0.00,21.50,0.06,0.08,0.44,0.39,0.11,2.46,21.50
Spinach souffle ,150.18,6.27,7.36,10.52,0.89,1.44,114.71,133.69,167.05,53.00,244.07,385.31,2.15,0.12,11.79,0.01,0.63,0.02,0.94,140.49,1.21,0.60,0.21,163.35,3.65,86.09,0.11,0.14,0.25,0.60,0.13,7.37,86.09
Beetroot and egg salad (Chukandar aur ande ka salad),84.92,3.40,3.36,6.45,1.97,0.55,82.25,18.13,48.27,6.48,110.12,66.99,0.55,0.04,9.27,0.00,0.06,0.01,0.35,44.49,0.35,0.19,0.19,4.43,3.28,18.49,0.02,0.05,0.09,0.39,0.06,4.72,18.49
Sour cream potato salad,121.90,9.05,2.89,8.13,0.84,1.21,47.29,23.25,55.18,19.19,102.66,367.59,0.90,0.12,4.91,0.00,0.14,0.02,0.42,26.98,1.67,0.30,0.09,4.64,1.61,23.36,0.05,0.04,0.67,0.43,0.10,3.06,23.36
Tossed green salad,49.88,3.82,1.33,3.24,1.90,1.33,0.00,33.71,27.50,19.14,65.09,211.22,1.27,0.06,1.40,0.01,0.19,0.01,0.28,0.00,0.05,1.81,0.00,41.19,0.00,34.85,0.04,0.04,0.34,0.15,0.10,1.33,34.85
Spring basket salad,160.46,11.61,3.36,11.30,1.46,3.09,8.17,45.65,51.17,20.75,26.02,252.19,0.85,0.08,2.73,0.00,0.25,0.00,0.59,11.14,3.72,6.00,0.00,99.46,0.00,52.16,0.10,0.08,0.71,0.52,0.13,1.92,52.16
Cucumber and yogurt salad (Kheere aur dahi ka salad),36.13,4.72,2.09,0.93,2.28,1.66,2.87,68.49,65.68,21.87,141.73,215.51,0.52,0.04,0.85,0.01,0.09,0.05,0.32,7.30,0.04,1.00,0.00,8.96,0.00,18.56,0.03,0.08,0.31,0.45,0.07,2.73,18.56
Chicken and tomato towers,100.55,2.36,6.90,6.99,1.21,1.14,20.73,17.54,66.90,17.28,76.02,212.83,0.77,0.12,6.03,0.01,0.11,0.01,0.36,6.41,1.43,4.66,0.39,21.13,7.90,18.74,0.06,0.04,2.59,0.47,0.21,2.41,18.74
Jellied sunshine fruit salad,48.86,4.21,5.85,0.85,2.86,1.80,0.00,37.14,25.75,17.23,74.20,144.01,0.87,0.08,2.35,0.01,0.41,0.01,0.22,0.00,0.16,0.80,0.00,22.58,0.00,15.17,0.03,0.03,0.11,0.12,0.07,1.08,15.17
