Name,Calories, Protein,Carbs,Fats
Pasta spinach sauce,85.46,1.76,1.76,7.90
Pasta cheese sauce,149.26,9.00,4.33,10.84
Mayonnaise,774.86,1.65,1.86,84.52
Low calorie quick mayonnaise,242.89,4.71,1.41,24.35
Thousand island dressing,407.87,4.49,1.37,42.87
Curd dip,79.95,7.95,5.04,3.36
Short crust pastry,422.10,44.72,6.11,23.98
Choux pastry,222.37,16.20,5.55,14.96
Flaky pastry,443.94,33.61,4.69,31.99
Sponge cake ,253.77,44.63,9.18,4.74
Glace icing,323.51,86.31,0.01,0.01
Royal icing,332.58,86.53,1.74,0.02
American frosting,257.57,67.48,1.05,0.01
Gum icing,223.07,53.19,5.94,0.00
Channa murmura premix,339.09,72.59,10.59,3.28
Cracked wheat and green gram dal premix (Dalia moong dal premix),362.16,64.75,15.89,5.11
Rice flakes and roasted channa ,333.40,71.94,10.57,2.94
Spinach soup in milk ,56.72,3.98,2.89,3.20
Vegetable soup,55.21,7.60,2.22,1.55
Mashed banana with milk,95.43,14.62,2.51,2.99
Poha with curd (Poha aur dahi),173.32,26.72,6.01,4.65
Potato with curd,73.18,12.01,3.19,1.33
Sweet wheat porridge (Sweet dalia),140.66,23.77,5.11,2.79
Vegetable khichdi/khichri,143.17,19.57,5.61,4.53
Moong dal mixture,158.84,33.93,4.62,1.00
Cracked wheat khichri/khichdi (Dalia khichri/khichdi),167.45,22.35,7.56,5.52
Stewed apple,91.93,22.49,0.17,0.37
Lemon squash (Nimbu ka squash),184.56,48.88,0.15,0.06
Orange squash (Santre ka squash),193.26,50.88,0.22,0.04
Lichi squash,198.33,51.96,0.30,0.08
Mango squash (Aam ka squash),194.66,50.96,0.17,0.17
Pineapple squash (Ananas ka squash),195.02,51.34,0.16,0.05
Lemon and ginger squash (Nimbu aur adrak ka squash),170.34,44.06,0.54,0.21
Apple jam (Seb ka murabba),188.79,48.56,0.14,0.32
Plum jam (Aloo bukhara jam),178.89,46.20,0.31,0.19
Pineapple jam ,149.18,38.27,0.32,0.15
Guava jelly (Amrood ki jelly),115.74,28.18,1.11,0.25
Orange marmalade (Santray ka murabba),104.17,25.94,0.66,0.13
Carrot murabba (Gajar ka murabba),175.24,45.60,0.32,0.16
Gooseberry marmalade (Amla murabba),123.16,32.34,0.14,0.03
Ginger candy (Adrak ki candy),195.71,50.38,0.69,0.27
Mango pickle (Aam ka achaar),192.12,8.11,1.60,17.89
Mixed vegetable pickle (Sabziyoon ka achaar),211.20,7.48,1.90,19.68
Sweet lemon pickle (Neembu ka meetha achaar),69.54,16.87,1.22,0.21
Plum chutney (Aloo bukhara ki chutney),177.11,44.95,0.47,0.29
Raw mango chutney (Kachhe aam/Kairi ki chutney),193.13,49.94,0.51,0.16
Tomato sauce,34.33,7.23,0.81,0.27
Tomato puree,20.62,3.68,0.75,0.25
Garam masala,254.21,26.20,9.89,10.97
Chat masala,222.58,23.87,8.19,9.91
Kashmiri masala,389.02,23.16,8.26,31.03
Rasam powder (Rasam masala),267.96,25.19,12.04,11.80
Sambar powder (Sambar masala),297.46,23.38,12.50,15.58
Tartare sauce,610.93,2.96,1.44,66.12
Barbeque sauce,121.93,20.46,0.96,4.51
Bread sauce,111.04,8.69,3.46,7.05
Green chilli sauce,46.06,7.36,1.25,0.27
Home made plain noodles,238.78,44.50,6.21,3.56
Dal moong,43.69,4.92,2.20,1.62
Cumin seeds baghar (Jeera baghar/tadka),736.81,5.22,3.34,78.77
Onion tomato baghar (Pyaaz tamatar ka tadka),137.52,6.17,1.26,11.98
Mustard seeds baghar (Mustard seed tadka),552.59,10.45,4.73,54.30
Hot cherry sauce,252.74,67.95,0.13,0.07
Apple jelly (Seb ki jelly),152.13,39.37,0.10,0.21
Marmalade (Murabba),143.76,37.64,0.23,0.04
Plum squash (Aloo bukhara squash),211.17,55.51,0.16,0.10
Lemon green chilli pickle (Nimboo aur hari mirch ka achaar),14.07,2.14,0.85,0.24
Brinjal pickle (Baingan ka achaar),139.01,4.23,2.24,12.98
Sweet and sour tomato pickle (Khatta meetha tamatar ka achaar),60.88,6.55,1.26,3.24
Jhatpat achar with carrot (Jhatpat achaar gajar ke saath),91.21,6.32,1.98,6.55
Tomato chutney (Tamatar ki chutney),176.07,31.85,0.97,6.01
Tomato ketchup,33.07,6.48,0.91,0.30
Bengal 5 Spice Blend (Panch Phoran),289.79,20.00,18.26,22.16
