Name,Calories, Protein,Carbs,Fats
Peanut sago vada (Sabudana mungfali vada),749.89,7.14,1.01,79.82
Vegeterian scotch egg,681.67,4.64,2.16,72.77
Paneer shaslik/tikka,93.85,7.98,5.11,4.49
Peanut brittle (Moongfali ki chikki),320.46,47.46,6.94,11.13
Spring roll,623.87,8.56,1.81,64.63
Dry mango chutney (Sookhe aam ki chutney),298.13,69.17,2.43,0.70
Peanut chutney (Mungfali ki chutney),258.37,9.87,11.80,19.06
Coconut chutney (Nariyal ki chutney),265.92,8.29,3.59,25.00
Mint and coriander chutney (Pudinay aur dhaniye ki chutney),102.60,21.18,2.81,0.51
Custard tart,225.60,28.66,3.72,10.73
Lemon tart,303.35,30.68,6.12,17.45
Jam tart,360.72,46.18,4.42,17.35
Orange cream tart,197.16,27.43,2.58,8.72
Pineapple tart,195.40,28.62,2.29,8.21
Cheese and mushroom tart,246.10,21.43,5.51,15.28
Cottage cheese pie,238.98,20.66,7.45,13.83
Minced meat pie,221.55,18.11,7.38,13.04
Apple cinnamon pie,258.73,33.68,3.35,12.21
Lemon meringue pie,224.43,35.11,3.88,8.16
Chocolate meringue pie,214.76,28.80,4.98,9.17
Cream puffs,221.33,16.00,4.70,15.48
Chocolate eclairs,239.42,26.22,4.24,13.50
Cheese balls,681.28,4.81,2.21,72.57
Minced meat patties,265.72,15.25,6.88,19.57
Cheese patties,324.01,22.23,7.38,22.67
Hot cheese souffle,177.10,5.41,9.18,13.23
Hot potato souffle,125.64,8.56,5.51,7.64
Hot fish souffle,142.92,3.69,11.23,9.24
Hot spinach souffle,104.25,4.19,5.43,7.24
Plain cream cake,353.94,47.18,6.18,16.17
Apple cake (Seb ka cake),290.08,39.48,4.94,12.87
Marble cake,354.11,46.88,6.30,16.27
Chocolate cake,335.61,45.14,6.01,15.18
Orange cake,357.61,48.28,6.10,16.21
Fruit Loaf ,324.19,46.49,5.36,13.31
Banana cake (Kele ka cake),389.51,40.00,5.77,23.31
Chocolate chiffon cake,311.71,37.87,5.76,15.80
Christmas cake,372.95,48.29,5.49,16.88
Strawberry and vanilla cake with butter icing,370.54,44.25,3.89,20.39
Eggless cake,318.08,46.14,8.12,11.75
Swiss roll,251.87,48.34,7.30,3.77
Pineapple pastry ,208.21,29.04,6.06,7.87
Black forest pastry,233.55,34.48,6.09,8.46
Coconut finger,274.86,42.56,7.09,8.86
Pineapple cake ,195.57,23.51,5.01,9.34
Chocolate walnut cookies (Chocolate aur akhrot ke cookies),424.80,47.10,6.56,23.62
Chocolate chip cookies,425.29,57.98,5.79,19.38
Sweet plain biscuit,380.76,50.29,5.86,17.67
Chocolate biscuit,379.76,51.56,5.88,17.09
Coconut biscuit (Nariyal ke biscuit),434.98,42.90,5.78,27.16
